,price_in_rp
477,950000000.0
478,1300000000.0
479,1350000000.0
480,490000000.0
481,650000000.0
482,770000000.0
483,720000000.0
484,875000000.0
485,875000000.0
486,875000000.0
487,1490000000.0
488,2750000000.0
489,1900000000.0
490,850000000.0
491,1900000000.0
492,2500000000.0
493,1590000000.0
494,3100000000.0
495,700000000.0
496,930000000.0
497,2000000000.0
498,2700000000.0
499,420000000.0
500,1200000000.0
501,2300000000.0
502,1950000000.0
503,2000000000.0
504,764000000.0
505,764000000.0
506,1400000000.0
507,385000000.0
508,950000000.0
509,345000000.0
510,180000000.0
511,250000000.0
512,481000000.0
513,555000000.0
514,375000000.0
515,723000000.0
516,495000000.0
517,850000000.0
518,400000000.0
519,777000000.0
520,625000000.0
521,6000000000.0
522,1000000000.0
523,1400000000.0
524,650000000.0
525,4850000000.0
526,700000000.0
527,418000000.0
528,320000000.0
529,370000000.0
530,325000000.0
531,750000000.0
532,450000000.0
533,600000000.0
534,600000000.0
535,325000000.0
536,435000000.0
537,750000000.0
538,800000000.0
539,480000000.0
540,250000000.0
541,550000000.0
542,2900000000.0
543,4800000000.0
544,975000000.0
545,1400000000.0
546,550000000.0
547,1350000000.0
548,850000000.0
549,1100000000.0
550,950000000.0
551,950000000.0
552,2300000000.0
553,695000000.0
554,695000000.0
555,980000000.0
556,470000000.0
557,496000000.0
558,600000000.0
559,399000000.0
560,450000000.0
561,2300000000.0
562,475000000.0
563,1300000000.0
564,265000000.0
565,380000000.0
566,160000000.0
567,525000000.0
568,770000000.0
569,750000000.0
570,690000000.0
571,700000000.0
572,995000000.0
573,570000000.0
574,570000000.0
575,600000000.0
576,450000000.0
577,3500000000.0
578,1150000000.0
579,1150000000.0
580,1100000000.0
581,500000000.0
582,2400000000.0
583,2400000000.0
584,1290000000.0
585,690000000.0
586,995000000.0
587,4500000000.0
588,945000000.0
589,1440000000.0
590,550000000.0
591,5500000000.0
592,1000000000.0
593,1440000000.0
594,3000000000.0
595,1380000000.0
596,945000000.0
597,1440000000.0
598,1380000000.0
599,2000000000.0
600,5500000000.0
601,5750000000.0
602,5900000000.0
603,6200000000.0
604,1800000000.0
605,650000000.0
606,1900000000.0
607,5100000000.0
608,900000000.0
609,850000000.0
610,650000000.0
611,1300000000.0
612,2150000000.0
613,3500000000.0
614,1300000000.0
615,1250000000.0
616,700000000.0
617,4500000000.0
618,1900000000.0
619,3900000000.0
620,4500000000.0
621,1350000000.0
622,2500000000.0
623,4500000000.0
624,7000000000.0
625,1300000000.0
626,945000000.0
627,1000000000.0
628,1250000000.0
629,1650000000.0
630,1150000000.0
631,6500000000.0
632,2300000000.0
633,2300000000.0
634,2750000000.0
635,2400000000.0
636,1200000000.0
637,945000000.0
638,1650000000.0
639,1250000000.0
640,1150000000.0
641,1300000000.0
642,1250000000.0
643,5000000000.0
644,5000000000.0
645,3500000000.0
646,6500000000.0
647,4500000000.0
648,7000000000.0
649,1000000000.0
650,2500000000.0
651,750000000.0
652,5000000000.0
653,1250000000.0
654,3500000000.0
655,1650000000.0
656,1150000000.0
657,945000000.0
658,945000000.0
659,1650000000.0
660,6500000000.0
661,7000000000.0
662,4500000000.0
663,1150000000.0
664,1250000000.0
665,3500000000.0
666,1000000000.0
667,3500000000.0
668,5000000000.0
669,6000000000.0
670,2300000000.0
671,6000000000.0
672,5000000000.0
673,1250000000.0
674,2300000000.0
675,550000000.0
676,3900000000.0
677,5500000000.0
678,5000000000.0
679,1500000000.0
680,7000000000.0
681,4500000000.0
682,575000000.0
683,825000000.0
684,3700000000.0
685,900000000.0
686,2500000000.0
687,945000000.0
688,3700000000.0
689,1500000000.0
690,7000000000.0
691,4500000000.0
692,575000000.0
693,825000000.0
694,945000000.0
695,900000000.0
696,2500000000.0
697,1150000000.0
698,945000000.0
699,1650000000.0
700,1250000000.0
701,3500000000.0
702,3170000000.0
703,3160000000.0
704,3150000000.0
705,945000000.0
706,3500000000.0
707,775000000.0
708,7000000000.0
709,5000000000.0
710,5000000000.0
711,1100000000.0
712,6000000000.0
713,2300000000.0
714,1250000000.0
715,4500000000.0
716,950000000.0
717,5000000000.0
718,1000000000.0
719,3500000000.0
720,1650000000.0
721,945000000.0
722,1150000000.0
723,4500000000.0
724,7500000000.0
725,7000000000.0
726,7000000000.0
727,7500000000.0
728,2900000000.0
729,2900000000.0
730,3500000000.0
731,4500000000.0
732,775000000.0
733,5000000000.0
734,4500000000.0
735,1650000000.0
736,1250000000.0
737,1800000000.0
738,1150000000.0
739,570000000.0
740,2300000000.0
741,600000000.0
742,3500000000.0
743,1900000000.0
744,3250000000.0
745,3500000000.0
746,2300000000.0
747,2500000000.0
748,5300000000.0
749,2750000000.0
750,5500000000.0
751,2100000000.0
752,1600000000.0
753,1700000000.0
754,800000000.0
755,5500000000.0
756,2750000000.0
757,5500000000.0
758,2750000000.0
759,3800000000.0
760,1800000000.0
761,1100000000.0
762,1150000000.0
763,725000000.0
764,3800000000.0
765,1650000000.0
766,2500000000.0
767,1100000000.0
768,1600000000.0
769,1350000000.0
770,3000000000.0
771,850000000.0
772,1350000000.0
773,1150000000.0
774,3950000000.0
775,5300000000.0
776,3850000000.0
777,4100000000.0
778,3500000000.0
779,3200000000.0
780,800000000.0
781,3800000000.0
782,1700000000.0
783,4500000000.0
784,1300000000.0
785,2750000000.0
786,2750000000.0
787,2750000000.0
788,2750000000.0
789,2750000000.0
790,2750000000.0
791,585000000.0
792,2300000000.0
793,2500000000.0
794,4400000000.0
795,1800000000.0
796,675000000.0
797,2300000000.0
798,4700000000.0
799,1600000000.0
800,5500000000.0
801,5500000000.0
802,1700000000.0
803,4350000000.0
804,2900000000.0
805,3500000000.0
806,4700000000.0
807,1700000000.0
808,800000000.0
809,1150000000.0
810,3200000000.0
811,3800000000.0
812,3800000000.0
813,4900000000.0
814,2850000000.0
815,2500000000.0
816,3500000000.0
817,585000000.0
818,1900000000.0
819,6300000000.0
820,3500000000.0
821,495000000.0
822,4500000000.0
823,4700000000.0
824,5750000000.0
825,300000000.0
826,630000000.0
827,1680000000.0
828,630000000.0
829,599000000.0
830,890000000.0
831,810000000.0
832,630000000.0
833,599000000.0
834,600000000.0
835,1200000000.0
836,499000000.0
837,810000000.0
838,810000000.0
839,630000000.0
840,599000000.0
841,810000000.0
842,630000000.0
843,599000000.0
844,351000000.0
845,325000000.0
846,245000000.0
847,1350000000.0
848,250000000.0
849,375000000.0
850,975000000.0
851,325000000.0
852,1450000000.0
853,1450000000.0
854,500000000.0
855,1500000000.0
856,359000000.0
857,350000000.0
858,168000000.0
859,195000000.0
860,280000000.0
861,530000000.0
862,493000000.0
863,130000000.0
864,475000000.0
865,500000000.0
866,525000000.0
867,1350000000.0
868,660000000.0
869,700000000.0
870,333000000.0
871,525000000.0
872,1440000000.0
873,780000000.0
874,600000000.0
875,600000000.0
876,1440000000.0
877,780000000.0
878,780000000.0
879,780000000.0
880,555000000.0
881,1350000000.0
882,530000000.0
883,930000000.0
884,900000000.0
885,1080000000.0
886,500000000.0
887,1080000000.0
888,930000000.0
889,1080000000.0
890,960000000.0
891,1400000000.0
892,500000000.0
893,900000000.0
894,1150000000.0
895,1400000000.0
896,1080000000.0
897,930000000.0
898,900000000.0
899,1150000000.0
900,530000000.0
901,599000000.0
902,1400000000.0
903,500000000.0
904,1080000000.0
905,930000000.0
906,900000000.0
907,530000000.0
908,530000000.0
909,530000000.0
910,500000000.0
911,1080000000.0
912,930000000.0
913,900000000.0
914,960000000.0
915,1400000000.0
916,530000000.0
917,1080000000.0
918,1150000000.0
919,800000000.0
920,637000000.0
921,755000000.0
922,685000000.0
923,438000000.0
924,438000000.0
925,1090000000.0
926,570000000.0
927,600000000.0
928,435000000.0
929,960000000.0
930,466000000.0
931,400000000.0
932,400000000.0
933,400000000.0
934,500000000.0
935,1620000000.0
936,375000000.0
937,1620000000.0
938,810000000.0
939,1140000000.0
940,1080000000.0
941,195000000.0
942,500000000.0
943,100000000.0
944,200000000.0
945,275000000.0
946,400000000.0
947,400000000.0
948,456000000.0
949,473000000.0
950,275000000.0
951,275000000.0
952,160000000.0
953,399000000.0
954,225000000.0
955,790000000.0
956,150000000.0
957,135000000.0
958,437000000.0
959,250000000.0
960,125000000.0
961,135000000.0
962,100000000.0
963,150000000.0
964,100000000.0
965,172000000.0
966,2400000000.0
967,650000000.0
968,1700000000.0
969,650000000.0
970,800000000.0
971,840000000.0
972,945000000.0
973,1020000000.0
974,1080000000.0
975,699000000.0
976,810000000.0
977,1380000000.0
978,699000000.0
979,1500000000.0
980,1080000000.0
981,810000000.0
982,1080000000.0
983,780000000.0
984,800000000.0
985,840000000.0
986,699000000.0
987,650000000.0
988,1140000000.0
989,1140000000.0
990,1380000000.0
991,1080000000.0
992,1140000000.0
993,1140000000.0
994,1380000000.0
995,1620000000.0
996,810000000.0
997,695000000.0
998,450000000.0
999,850000000.0
1000,655000000.0
1001,545000000.0
1002,2000000000.0
1003,649000000.0
1004,2900000000.0
1005,688000000.0
1006,1350000000.0
1007,400000000.0
1008,200000000.0
1009,575000000.0
1010,1500000000.0
1011,644000000.0
1012,500000000.0
1013,600000000.0
1014,400000000.0
1015,400000000.0
1016,560000000.0
1017,600000000.0
1018,655000000.0
1019,500000000.0
1020,600000000.0
1021,999000000.0
1022,750000000.0
1023,185000000.0
1024,500000000.0
1025,590000000.0
1026,599000000.0
1027,514000000.0
1028,624000000.0
1029,624000000.0
1030,494000000.0
1031,594000000.0
1032,499000000.0
1033,499000000.0
1034,599000000.0
1035,599000000.0
1036,1100000000.0
1037,600000000.0
1038,470000000.0
1039,470000000.0
1040,780000000.0
1041,752000000.0
1042,700000000.0
1043,650000000.0
1044,1350000000.0
1045,1350000000.0
1046,4000000000.0
1047,5000000000.0
1048,7500000000.0
1049,770000000.0
1050,5200000000.0
1051,1500000000.0
1052,2400000000.0
1053,650000000.0
1054,650000000.0
1055,650000000.0
1056,1440000000.0
1057,1890000000.0
1058,2380000000.0
1059,1980000000.0
1060,7000000000.0
1061,2040000000.0
1062,1980000000.0
1063,1440000000.0
1064,1980000000.0
1065,1440000000.0
1066,1440000000.0
1067,1980000000.0
1068,1440000000.0
1069,2000000000.0
1070,587000000.0
1071,500000000.0
1072,1350000000.0
1073,630000000.0
1074,5000000000.0
1075,633000000.0
1076,4320000000.0
1077,3550000000.0
1078,569000000.0
1079,467000000.0
1080,570000000.0
1081,2400000000.0
1082,2400000000.0
1083,2400000000.0
1084,2400000000.0
1085,2500000000.0
1086,2040000000.0
1087,2040000000.0
1088,2040000000.0
1089,2040000000.0
1090,2040000000.0
1091,1100000000.0
1092,1440000000.0
1093,1440000000.0
1094,1440000000.0
1095,780000000.0
1096,1980000000.0
1097,1440000000.0
1098,1000000000.0
1099,1350000000.0
1100,530000000.0
1101,784000000.0
1102,4500000000.0
1103,3600000000.0
1104,890000000.0
1105,810000000.0
1106,630000000.0
1107,2550000000.0
1108,468000000.0
1109,1350000000.0
1110,570000000.0
1111,3800000000.0
1112,3800000000.0
1113,3000000000.0
1114,2000000000.0
1115,2400000000.0
1116,388000000.0
1117,4600000000.0
1118,546000000.0
1119,1000000000.0
1120,1680000000.0
1121,2550000000.0
1122,2550000000.0
1123,1680000000.0
1124,1680000000.0
1125,2550000000.0
1126,1680000000.0
1127,2550000000.0
1128,1680000000.0
1129,1680000000.0
1130,1680000000.0
1131,1680000000.0
1132,1350000000.0
1133,1400000000.0
1134,2040000000.0
1135,275000000.0
1136,275000000.0
1137,1680000000.0
1138,5000000000.0
1139,1500000000.0
1140,1450000000.0
1141,2650000000.0
1142,1350000000.0
1143,3500000000.0
1144,1250000000.0
1145,1600000000.0
1146,1450000000.0
1147,3800000000.0
1148,3800000000.0
1149,3500000000.0
1150,1450000000.0
1151,1030000000.0
1152,1200000000.0
1153,2950000000.0
1154,2650000000.0
1155,1700000000.0
1156,1700000000.0
1157,1200000000.0
1158,700000000.0
1159,699000000.0
1160,4100000000.0
1161,7600000000.0
1162,6300000000.0
1163,1150000000.0
1164,4600000000.0
1165,900000000.0
1166,1350000000.0
1167,900000000.0
1168,1440000000.0
1169,1440000000.0
1170,755000000.0
1171,785000000.0
1172,685000000.0
1173,830000000.0
1174,830000000.0
1175,725000000.0
1176,1620000000.0
1177,400000000.0
1178,280000000.0
1179,495000000.0
1180,780000000.0
1181,780000000.0
1182,2600000000.0
1183,1650000000.0
1184,1350000000.0
1185,975000000.0
1186,975000000.0
1187,992000000.0
1188,2040000000.0
1189,2040000000.0
1190,1000000000.0
1191,2650000000.0
1192,3900000000.0
1193,2040000000.0
1194,798000000.0
1195,590000000.0
1196,749000000.0
1197,674000000.0
1198,516000000.0
1199,516000000.0
1200,655000000.0
1201,782000000.0
1202,460000000.0
1203,800000000.0
1204,475000000.0
1205,450000000.0
1206,400000000.0
1207,470000000.0
1208,470000000.0
1209,168000000.0
1210,400000000.0
1211,400000000.0
1212,500000000.0
1213,1350000000.0
1214,619000000.0
1215,551000000.0
1216,551000000.0
1217,551000000.0
1218,875000000.0
1219,908000000.0
1220,651000000.0
1221,651000000.0
1222,651000000.0
1223,651000000.0
1224,651000000.0
1225,1070000000.0
1226,535000000.0
1227,535000000.0
1228,535000000.0
1229,551000000.0
1230,551000000.0
1231,551000000.0
1232,661000000.0
1233,1160000000.0
1234,921000000.0
1235,500000000.0
1236,650000000.0
1237,551000000.0
1238,980000000.0
1239,655000000.0
1240,800000000.0
1241,1200000000.0
1242,700000000.0
1243,1350000000.0
1244,685000000.0
1245,514000000.0
1246,798000000.0
1247,75000000.0
1248,455000000.0
1249,931000000.0
1250,410000000.0
1251,900000000.0
1252,440000000.0
1253,470000000.0
1254,470000000.0
1255,466000000.0
1256,400000000.0
1257,400000000.0
1258,800000000.0
1259,750000000.0
1260,450000000.0
1261,390000000.0
1262,400000000.0
1263,330000000.0
1264,300000000.0
1265,265000000.0
1266,499000000.0
1267,225000000.0
1268,2700000000.0
1269,300000000.0
1270,470000000.0
1271,470000000.0
1272,2500000000.0
1273,7400000000.0
1274,5400000000.0
1275,5400000000.0
1276,2000000000.0
1277,395000000.0
1278,2250000000.0
1279,260000000.0
1280,1350000000.0
1281,2700000000.0
1282,4400000000.0
1283,1550000000.0
1284,875000000.0
1285,4800000000.0
1286,1370000000.0
1287,1370000000.0
1288,1500000000.0
1289,2200000000.0
1290,2300000000.0
1291,1350000000.0
1292,2900000000.0
1293,2500000000.0
1294,1330000000.0
1295,1250000000.0
1296,575000000.0
1297,476000000.0
1298,1350000000.0
1299,540000000.0
1300,360000000.0
1301,451000000.0
1302,443000000.0
1303,439000000.0
1304,425000000.0
1305,415000000.0
1306,409000000.0
1307,300000000.0
1308,470000000.0
1309,470000000.0
1310,599000000.0
1311,200000000.0
1312,3800000000.0
1313,650000000.0
1314,1800000000.0
1315,6000000000.0
1316,5000000000.0
1317,7000000000.0
1318,2500000000.0
1319,900000000.0
1320,1500000000.0
1321,1350000000.0
1322,5000000000.0
1323,4200000000.0
1324,4850000000.0
1325,1350000000.0
1326,1350000000.0
1327,1350000000.0
1328,1350000000.0
1329,285000000.0
1330,285000000.0
1331,1350000000.0
1332,459000000.0
1333,1350000000.0
1334,1350000000.0
1335,600000000.0
1336,2600000000.0
1337,1350000000.0
1338,1350000000.0
1339,835000000.0
1340,1350000000.0
1341,879000000.0
1342,1350000000.0
1343,1350000000.0
1344,1350000000.0
1345,1350000000.0
1346,1350000000.0
1347,900000000.0
1348,1350000000.0
1349,1350000000.0
1350,1350000000.0
1351,1350000000.0
1352,1350000000.0
1353,1350000000.0
1354,1350000000.0
1355,1500000000.0
1356,628000000.0
1357,595000000.0
1358,1900000000.0
1359,685000000.0
1360,285000000.0
1361,400000000.0
1362,800000000.0
1363,300000000.0
1364,850000000.0
1365,1200000000.0
1366,550000000.0
1367,355000000.0
1368,430000000.0
1369,245000000.0
1370,245000000.0
1371,950000000.0
1372,250000000.0
1373,250000000.0
1374,295000000.0
1375,235000000.0
1376,350000000.0
1377,350000000.0
1378,225000000.0
1379,280000000.0
1380,650000000.0
1381,549000000.0
1382,434000000.0
1383,750000000.0
1384,450000000.0
1385,1100000000.0
1386,3000000000.0
1387,1800000000.0
1388,3300000000.0
1389,1050000000.0
1390,775000000.0
1391,919000000.0
1392,908000000.0
1393,775000000.0
1394,440000000.0
1395,1020000000.0
1396,805000000.0
1397,1000000000.0
1398,2600000000.0
1399,500000000.0
1400,7500000000.0
1401,2500000000.0
1402,820000000.0
1403,389000000.0
1404,4000000000.0
1405,85000000.0
1406,338000000.0
1407,3500000000.0
1408,550000000.0
1409,799000000.0
1410,811000000.0
1411,660000000.0
1412,1200000000.0
1413,330000000.0
1414,1200000000.0
1415,660000000.0
1416,2280000000.0
1417,790000000.0
1418,690000000.0
1419,1030000000.0
1420,660000000.0
1421,495000000.0
1422,885000000.0
1423,775000000.0
1424,900000000.0
1425,650000000.0
1426,799000000.0
1427,930000000.0
1428,895000000.0
1429,775000000.0
1430,725000000.0
1431,800000000.0
1432,1150000000.0
1433,494000000.0
1434,940000000.0
1435,1200000000.0
1436,560000000.0
1437,350000000.0
1438,625000000.0
1439,750000000.0
1440,675000000.0
1441,400000000.0
1442,895000000.0
1443,930000000.0
1444,865000000.0
1445,1120000000.0
1446,1150000000.0
1447,1270000000.0
1448,1000000000.0
1449,220000000.0
1450,390000000.0
1451,1580000000.0
1452,1300000000.0
1453,945000000.0
1454,1200000000.0
1455,1580000000.0
1456,550000000.0
1457,2990000000.0
1458,1050000000.0
1459,875000000.0
1460,1200000000.0
1461,800000000.0
1462,750000000.0
1463,1980000000.0
1464,1050000000.0
1465,2990000000.0
1466,595000000.0
1467,1050000000.0
1468,535000000.0
1469,897000000.0
1470,678000000.0
1471,617000000.0
1472,2990000000.0
1473,1020000000.0
1474,945000000.0
1475,945000000.0
1476,1050000000.0
1477,840000000.0
1478,1050000000.0
1479,1020000000.0
1480,1300000000.0
1481,800000000.0
1482,795000000.0
1483,897000000.0
1484,607000000.0
1485,1950000000.0
1486,2500000000.0
1487,710000000.0
1488,800000000.0
1489,2300000000.0
1490,850000000.0
1491,900000000.0
1492,839000000.0
1493,3300000000.0
1494,662000000.0
1495,679000000.0
1496,1960000000.0
1497,1510000000.0
1498,1470000000.0
1499,1610000000.0
1500,1340000000.0
1501,865000000.0
1502,563000000.0
1503,670000000.0
1504,260000000.0
1505,365000000.0
1506,660000000.0
1507,195000000.0
1508,440000000.0
1509,400000000.0
1510,85000000.0
1511,370000000.0
1512,410000000.0
1513,473000000.0
1514,501000000.0
1515,200000000.0
1516,215000000.0
1517,559000000.0
1518,410000000.0
1519,372000000.0
1520,375000000.0
1521,325000000.0
1522,325000000.0
1523,325000000.0
1524,200000000.0
1525,150000000.0
1526,1560000000.0
1527,849000000.0
1528,960000000.0
1529,615000000.0
1530,940000000.0
1531,775000000.0
1532,625000000.0
1533,680000000.0
1534,700000000.0
1535,600000000.0
1536,995000000.0
1537,774000000.0
1538,590000000.0
1539,754000000.0
1540,774000000.0
1541,799000000.0
1542,600000000.0
1543,725000000.0
1544,790000000.0
1545,900000000.0
1546,680000000.0
1547,1490000000.0
1548,1490000000.0
1549,484000000.0
1550,1550000000.0
1551,730000000.0
1552,590000000.0
1553,595000000.0
1554,592000000.0
1555,550000000.0
1556,680000000.0
1557,965000000.0
1558,870000000.0
1559,1260000000.0
1560,780000000.0
1561,900000000.0
1562,780000000.0
1563,1020000000.0
1564,900000000.0
1565,1260000000.0
1566,780000000.0
1567,1020000000.0
1568,1260000000.0
1569,1150000000.0
1570,500000000.0
1571,870000000.0
1572,870000000.0
1573,960000000.0
1574,870000000.0
1575,960000000.0
1576,870000000.0
1577,960000000.0
1578,1260000000.0
1579,630000000.0
